b3437,GLUCONOKINII-MONOMER
b2679,PROX-MONOMER
b2808,PD00339
b2622,EG11783-MONOMER
b0485,G6261-MONOMER
b1932,G7040-MONOMER
b1590,G6848-MONOMER
b4308,G7918-MONOMER
b1427,EG10853-MONOMER
b2164,YEIM-MONOMER
b2120,EG11999-MONOMER
b0450,PROTEIN-PII2
b0173,DXPREDISOM-MONOMER
b3573,EG12277-MONOMER
b2923,YGGA-MONOMER
b1994,G7074-MONOMER
b1383,G6705-MONOMER
b1739,EG10044-MONOMER
b4244,ASPCARBREG-MONOMER
b0423,THII-MONOMER
b2318,EG10454-MONOMER
b0185,CARBOXYL-TRANSFERASE-ALPHA-MONOMER
b2917,METHYLMALONYL-COA-MUT-MONOMER
b0963,METHGLYSYN-MONOMER
b3429,GLYCOGENSYN-MONOMER
b1300,ALDHDEHYDROG-MONOMER
b3368,SIROHEMESYN-MONOMER
b2771,B2771-MONOMER
b0012,EG11509-MONOMER
b0089,EG10344-MONOMER
b0500,EG11770-MONOMER
b2212,EG10037-MONOMER
b0210,EG11651-MONOMER
b3047,G7586-MONOMER
b4542,MONOMER0-2681
b0061,RIBULPEPIM-MONOMER
b2623,G7359-MONOMER
b2015,G7088-MONOMER
b0637,EG11255-MONOMER
b1842,EG11505-MONOMER
b1733,EG12198-MONOMER
b2913,PGLYCDEHYDROG-MONOMER
b2824,EG11155-MONOMER
b2716,EG10085-MONOMER
b1691,B1691-MONOMER
b1829,EG10462-MONOMER
b2647,G7382-MONOMER
b0681,G6370-MONOMER
b3626,EG11353-MONOMER
b2063,G7108-MONOMER
b0504,G6274-MONOMER
b1620,PD00361
b4153,FUM-FE-S
b4335,G7932-MONOMER
b3670,SMALLILVN-MONOMER
b2505,G7316-MONOMER
b1475,FDNH-MONOMER
b0522,PURK-MONOMER
b2633,G7368-MONOMER
b1978,G7064-MONOMER
b3157,G7651-MONOMER
b4259,EG11413-MONOMER
b0686,EG11776-MONOMER
b3989,EG11429-MONOMER
b1436,G6747-MONOMER
b0727,E2O-MONOMER
b4419,MONOMER0-1601
b3083,G7602-MONOMER
b4037,EG10559-MONOMER
b1426,EG12865-MONOMER
b0908,AROA-MONOMER
b3496,YHIP-MONOMER
b0085,UDP-NACMURALGLDAPLIG-MONOMER
b0264,G6138-MONOMER
b0363,G6215-MONOMER
b2889,IPPISOM-MONOMER
b1340,G6672-MONOMER
b2272,G7179-MONOMER
b1888,PROTEIN-CHEA
b1443,YDCV-MONOMER
b1156,EG11120-MONOMER
b3303,EG10904-MONOMER
b4240,TREB-MONOMER
b2644,G7379-MONOMER
b2853,G7473-MONOMER
b0118,ACONITATEDEHYDRB-MONOMER
b4000,EG10466-MONOMER
b1603,PNTA-MONOMER
b3375,G7727-MONOMER
b2579,EG11784-MONOMER
b2845,B2845-MONOMER
b1263,ANTHRANSYNCOMPII-MONOMER
b3105,G7619-MONOMER
b2568,EG10530-MONOMER
b2384,G7247-MONOMER
b0553,EG10659-MONOMER
b3361,EG10307-MONOMER
b3438,PD03585
b3995,EG11738-MONOMER
b3449,GLYCPDIESTER-CYTO-MONOMER
b4557,MONOMER0-2692
b2807,EG11793-MONOMER
b0060,EG10747-MONOMER
b1814,LSERINEDEAM1-MONOMER
b1241,ADHE-MONOMER
b1053,YCEE-MONOMER
b2298,G7190-MONOMER
b2901,G495-MONOMER
b1860,EG10924-MONOMER
b3191,G7658-MONOMER
b2389,G7251-MONOMER
b3781,RED-THIOREDOXIN-MONOMER
b2372,B2372-MONOMER
b0201,RRSH-RRNA
b3792,EG11486-MONOMER
b1037,G6543-MONOMER
b0775,BIOTIN-SYN-MONOMER
b1091,FABH-MONOMER
b2693,argY-tRNA
b3336,EG10113-MONOMER
b1536,EG11644-MONOMER
b4075,EG11949-MONOMER
b1406,EG11309-MONOMER
b2976,MALSYNG-MONOMER
b3991,THIG-MONOMER
b1904,G7035-MONOMER
b1654,EG12181-MONOMER
b1403,MONOMER0-4250
b1457,EG11760-MONOMER
b3152,G7646-MONOMER
b4287,FECE-MONOMER
b1568,G6835-MONOMER
b1811,G6995-MONOMER
b1908,EG11139-MONOMER
b2723,HYCC-MONOMER
b4149,G7837-MONOMER
b4442,SRAD-RNA
b1278,PGPPHOSPHAB-MONOMER
b2154,EG12026-MONOMER
b4593,MONOMER0-2818
b1838,G7011-MONOMER
b4433,RYEB-RNA
b2833,G7461-MONOMER
b1545,G6819-MONOMER
b1818,MANY-MONOMER
b2062,G7107-MONOMER
b3911,CPXA-MONOMER
b1453,ANSP-MONOMER
b3848,EG11484-MONOMER
b0641,EG10855-MONOMER
b0412,EG12874-MONOMER
b1768,NICOTINAMID-MONOMER
b3160,G7654-MONOMER
b1298,G6645-MONOMER
b0664,glnX-tRNA
b1709,BTUD-MONOMER
b1066,EG10851-MONOMER
b3790,TDPFUCACTRANS-MONOMER
b3773,PD00200
b1423,G6738-MONOMER
b2098,B2098-MONOMER
b1462,G6769-MONOMER
b2601,AROF-MONOMER
b4698,RNA0-348
b0894,DMSA-MONOMER
b4256,G7886-MONOMER
b4003,HYDH-MONOMER
b2249,G7162-MONOMER
b0345,PD00763
b0769,G6399-MONOMER
b0402,PROY-MONOMER
b0917,G6472-MONOMER
b0073,3-ISOPROPYLMALDEHYDROG-MONOMER
b2192,MONOMER0-4238
b3194,YRBE-MONOMER
b1487,YDDS-MONOMER
b2435,NACMURLALAAMI1-MONOMER
b4269,EG11436-MONOMER
b4234,EG11410-MONOMER
b3757,gltU-tRNA
b4137,EG12177-MONOMER
b1706,G6924-MONOMER
b4265,YJGT-MONOMER
b1710,BTUE-MONOMER
b2751,CYSN-MONOMER
b1398,G6719-MONOMER
b0508,G6277-MONOMER
b3385,GPH-MONOMER
b2996,HYBA-MONOMER
b4325,G7922-MONOMER
b3738,ATPB-MONOMER
b1677,EG10544-MONOMER
b3038,EG11165-MONOMER
b1696,G6919-MONOMER
b0310,G6180-MONOMER
b2542,HCAD-MONOMER
b1839,G7012-MONOMER
b1447,G6758-MONOMER
b1371,G6694-MONOMER
b3355,EG12365-MONOMER
b4188,G7851-MONOMER
b3404,ENVZ-MONOMER
b1626,G6870-MONOMER
b3379,G7731-MONOMER
b2701,G7410-MONOMER
b4320,EG10315-MONOMER
b3528,DCTA-MONOMER
b4245,ASPCARBCAT-MONOMER
b3193,EG12799-MONOMER
b0158,EG12334-MONOMER
b3452,UGPA-MONOMER
b1293,SAPB-MONOMER
b3275,RRLD-RRNA
b2776,G7442-MONOMER
b1088,EG11119-MONOMER
b4157,G7838-MONOMER
b2315,FOLC-MONOMER
b1660,YDHC-MONOMER
b1700,G6923-MONOMER
b2725,EG10474-MONOMER
b2870,G7489-MONOMER
b0647,G6354-MONOMER
b2840,EG11157-MONOMER
b2562,G7346-MONOMER
b1141,G6585-MONOMER
b1667,G6895-MONOMER
b2436,COPROGENOXI-MONOMER
b3237,PD00194
b2959,EG12443-MONOMER
b2735,G7416-MONOMER
b0789,G6406-MONOMER
b2425,CYSP-MONOMER
b2861,MONOMER0-4252
b3376,G7728-MONOMER
b4300,G7913-MONOMER
b3681,EG11708-MONOMER
b2818,N-ACETYLTRANSFER-MONOMER
b0648,G6355-MONOMER
b2761,EG12634-MONOMER
b2186,EG12048-MONOMER
b2869,G7488-MONOMER
b0529,FOLD-MONOMER
b0190,G6098-MONOMER
b0088,UDP-NACMURALA-GLU-LIG-MONOMER
b3746,EG11731-MONOMER
b4378,G7952-MONOMER
b2165,EG12033-MONOMER
b3682,GLVB-MONOMER
b3395,G7739-MONOMER
b4085,EG11957-MONOMER
b1065,B1065-MONOMER
b4663,MONOMER0-2880
b3541,DPPD-MONOMER
b2675,NRDE-MONOMER
b3041,DIOHBUTANONEPSYN-MONOMER
b2256,G7169-MONOMER
b1642,G6882-MONOMER
b2486,MONOMER0-143
b0361,G7480-MONOMER
b2057,G7102-MONOMER
b2153,GTP-CYCLOHYDRO-I-MONOMER
b1021,G6528-MONOMER
b3137,TAGAALDOL1-MONOMER
b3440,G7757-MONOMER
b2422,CYSA-MONOMER
b1196,G6625-MONOMER
b4233,EG12440-MONOMER
b1774,G6961-MONOMER
b1977,asnT-tRNA
b3211,G7669-MONOMER
b1923,EG10321-MONOMER
b2514,HISS-MONOMER
b2412,G7258-MONOMER
b3008,CYSTATHIONINE-BETA-LYASE-MONOMER
b0549,G6305-MONOMER
b4050,EG11933-MONOMER
b4618,MONOMER0-1922
b1669,G6897-MONOMER
b0095,EG10347-MONOMER
b0779,EG11062-MONOMER
b0745,lysW-tRNA
b0280,G6151-MONOMER
b2736,G7417-MONOMER
b2816,RNA0-306
b0027,EG10548-MONOMER
b0380,G6229-MONOMER
b1569,EG10228-MONOMER
b4402,G7954-MONOMER
b3932,EG11676-MONOMER
b4220,G7874-MONOMER
b2118,EG11995-MONOMER
b4087,YJCW-MONOMER
b2843,G7463-MONOMER
